t	θ
0	40.52545326
0.033294444	39.57156616
0.066621111	38.39034706
0.099872778	37.04780466
0.133166111	35.558616
0.166458333	33.81161249
0.199751667	31.95438065
0.233045	29.89120503
0.266338889	27.77597075
0.299632222	25.42859529
0.332924444	23.03301252
0.366220556	20.41155477
0.39951	        17.73109503
0.432801667	14.96669397
0.466096111	12.03815724
0.499389444	9.096051304
0.532719444	6.037950073
0.565982222	3.069602822
0.599274444	-0.186544356
0.632567222	-3.253582396
0.665855	-6.216140433
0.699143889	-9.357944813
0.732441111	-12.34213015
0.765734444	-15.30207806
0.799026667	-18.19071978
0.832340556	-20.9639951
0.865623333	-23.72524618
0.898910556	-26.36182184
0.932203333	-28.92178492
0.965493333	-31.21521141
0.998784444	-33.48946079
1.032077778	-35.67379308
1.065373889	-37.55019669
1.098662778	-39.31957684
1.131964445	-40.95932283
1.165251667	-42.32056434
1.198544444	-43.58566156
1.231835555	-44.56391416
1.265131667	-45.3753634
1.298421111	-46.08536861
1.33172	        -46.60008213
1.365011111	-46.84392603
1.398301667	-46.8861399
1.431593333	-46.81785144
1.464888333	-46.53297453
1.498183333	-45.92790899
1.531471667	-45.26759424
1.564767222	-44.41302606
1.598059445	-43.27503348
1.631353333	-41.93470299
1.664646111	-40.49941637
1.697944444	-38.84110422
1.731233889	-36.8681535
1.764526111	-34.83707075
1.797826666	-32.60805412
1.831112222	-30.13332207
1.864406111	-27.66207569
1.897899444	-25.04843425
1.930992222	-22.2985228
1.964286111	-19.4368487
1.997574445	-16.38111298
2.030868334	-13.54330065
2.064163334	-10.42542433
2.097453334	-7.368414516
2.130748333	-4.362162934
2.164041667	-1.212853053
2.197336111	1.79214283
2.230624444	4.771562537
2.263920555	7.655287949
2.297217778	10.59971123
2.330506111	13.36319393
2.363801667	16.07119006
2.397092778	18.63271697
2.430390556	21.09934909
2.46368	        23.48516405
2.496971111	25.60488884
2.530272223	27.73465615
2.563556667	29.79000918
2.596849445	31.51306192
2.630143889	33.1060945
2.663435	34.64461932
2.696730555	35.97974843
2.730023333	37.14689596
2.763314444	38.1981716
2.796611913	38.80342328
2.829903889	39.88857767
2.863196296	40.73918713
