transportador_A
t	θ
0.000000000E0	2.423349844E0
3.335555556E-2	2.338296775E0
6.658888889E-2	2.347401971E0
9.987777778E-2	2.340245541E0
1.331777778E-1	2.105357378E0
1.664666667E-1	1.976070877E0
1.997666667E-1	1.825465387E0
2.330666667E-1	1.674905655E0
2.663444444E-1	1.500479139E0
2.996444444E-1	1.347652050E0
3.329333333E-1	1.267639433E0
3.662333333E-1	1.070210457E0
3.995333333E-1	9.110260737E-1
4.328222222E-1	6.901643500E-1
4.661000000E-1	5.210660113E-1
4.993888889E-1	3.619323617E-1
5.326888889E-1	6.485856211E-2
5.659888889E-1	-1.301616179E-1
5.992666667E-1	-5.380831019E-1
6.326000000E-1	-7.149854972E-1
6.658666667E-1	-8.233585973E-1
6.991555556E-1	-9.314233893E-1
7.324666667E-1	-1.401928854E0
7.657333333E-1	-1.476886164E0
7.990444444E-1	-1.673707659E0
8.323333333E-1	-1.709451401E0
8.656222222E-1	-1.809238273E0
8.989222222E-1	-2.043306675E0
9.322222222E-1	-2.109005205E0
9.655000000E-1	-2.304958083E0
9.987888889E-1	-2.114576420E0
1.032088889E0	-2.088997763E0
1.065422222E0	-1.894782016E0
1.098677778E0	-1.787053973E0
1.131966667E0	-1.623543822E0
1.165255556E0	-1.538386151E0
1.198544444E0	-1.407290640E0
1.231844444E0	-1.308189641E0
1.265133333E0	-1.197362537E0
1.298422222E0	-9.380441726E-1
1.331722222E0	-8.447770709E-1
1.365011111E0	-7.262352313E-1
1.398300000E0	-5.640609752E-1
1.431611111E0	-5.064043457E-1
1.465022222E0	-4.160739018E-2
1.498188889E0	2.744777879E-1
1.531488889E0	5.150658754E-1
1.564788889E0	6.065162447E-1
1.598077778E0	9.094112943E-1
1.631366667E0	1.152383482E0
1.664655556E0	1.248048900E0
1.697955556E0	1.316518690E0
1.731244444E0	1.575275243E0
1.764533333E0	1.732818474E0
1.797833333E0	1.780294696E0
1.831122222E0	1.923720698E0
1.864422222E0	2.048120190E0
1.897700000E0	2.156543160E0
1.931011111E0	2.156835533E0
1.964288889E0	2.245421352E0
1.997577778E0	2.297222381E0
2.030877778E0	2.375127319E0
2.064166667E0	2.379875737E0
