transportador_A
t	θ
0.000000000E0	2.876373118E0
3.328888889E-2	2.826874295E0
6.660000000E-2	2.776447220E0
9.987777778E-2	2.726307841E0
1.331666667E-1	2.519078774E0
1.664666667E-1	2.361466015E0
1.997555556E-1	2.258133872E0
2.330888889E-1	2.156299473E0
2.663333333E-1	2.054355128E0
2.996444444E-1	1.944346126E0
3.329333333E-1	1.847729454E0
3.662222222E-1	1.694176489E0
3.995111111E-1	1.538831473E0
4.328000000E-1	1.374540650E0
4.661000000E-1	1.218909161E0
4.993888889E-1	1.115857666E0
5.326777778E-1	9.706724445E-1
5.660000000E-1	8.584558609E-1
5.992666667E-1	7.027833545E-1
6.325555556E-1	5.900320693E-1
6.658666667E-1	4.377701344E-1
6.991555556E-1	2.869293367E-1
7.324444444E-1	1.797713042E-1
7.657444444E-1	6.252050235E-2
7.990333333E-1	-3.483429602E-2
8.323333333E-1	-1.245032729E-1
8.656222222E-1	-2.454860742E-1
8.989111111E-1	-4.394170778E-1
9.322111111E-1	-5.451155342E-1
9.655111111E-1	-6.024076376E-1
9.988000000E-1	-6.499026863E-1
1.032077778E0	-9.994353858E-1
1.065433333E0	-1.160345574E0
1.098677778E0	-1.477807192E0
1.131966667E0	-1.878193016E0
1.165266667E0	-2.006084687E0
1.198555556E0	-2.114658734E0
1.231844444E0	-2.559636413E0
1.265144444E0	-2.565961293E0
1.298433333E0	-2.558618091E0
1.331722222E0	-2.514475572E0
1.365022222E0	-2.447916498E0
1.398311111E0	-2.478193016E0
1.431611111E0	-2.357807192E0
1.464911111E0	-2.310345574E0
1.498188889E0	-2.254353858E0
1.531488889E0	-2.154219532E0
1.564788889E0	-2.092125903E0
1.598066667E0	-2.010687442E0
1.631366667E0	-1.945311174E0
1.664655556E0	-1.879607805E0
1.697955556E0	-1.794424098E0
1.731244444E0	-1.714140288E0
1.764533333E0	-1.636824652E0
1.797822222E0	-1.5212169260E0
1.831122222E0	-8.391025039E-1
1.864411111E0	-6.281509013E-2
1.897700000E0	-1.528144111E-3
1.930988889E0	1.007408819E-2
1.964300000E0	3.007147260E-2
1.997577778E0	1.007729764E-1
2.030877778E0	2.097941246E-1
2.064166667E0	5.328211020E-1
2.097500000E0	7.434526909E-1
2.130744444E0	9.582914704E-1
2.164044444E0	1.087785484E0
2.197344444E0	1.241981671E0
2.230633333E0	1.358147225E0
2.263933333E0	1.477177177E0
2.297222222E0	1.698580519E0
2.330511111E0	1.803972073E0
2.363811111E0	2.052447808E0
2.397100000E0	2.106658223E0
2.430388889E0	2.168725515E0
2.463688889E0	2.221838895E0
2.496977778E0	2.189021817E0
2.530277778E0	2.277263285E0
2.563555556E0	2.342661078E0
2.596855556E0	2.433194715E0
2.630144444E0	2.585850263E0
2.663444444E0	2.611131265E0
2.696744444E0	2.641946403E0
2.730022222E0	2.711981700E0
2.763311111E0	2.737200989E0
2.796800000E0	2.747273876E0
2.829900000E0	2.796514374E0
